Region_NUTS2;Year;Week;Ending;Age;NoDeaths_EP;Expected;LowerB;UpperB;Diff
CH01;        2020;           1;05.01.2020;0-64    ;          31;          30;          16;          44;           .
CH01;        2020;           2;12.01.2020;0-64    ;          27;          31;          16;          45;           .
CH01;        2020;           3;19.01.2020;0-64    ;          35;          31;          16;          45;           .
CH01;        2020;           4;26.01.2020;0-64    ;          33;          31;          17;          45;           .
CH01;        2020;           5;02.02.2020;0-64    ;          27;          31;          17;          46;           .
CH01;        2020;           6;09.02.2020;0-64    ;          32;          31;          17;          46;           .
CH01;        2020;           7;16.02.2020;0-64    ;          31;          32;          17;          46;           .
CH01;        2020;           8;23.02.2020;0-64    ;          33;          32;          17;          46;           .
CH01;        2020;           9;01.03.2020;0-64    ;          37;          32;          17;          46;           .
CH01;        2020;          10;08.03.2020;0-64    ;          40;          32;          17;          46;           .
CH01;        2020;          11;15.03.2020;0-64    ;          28;          32;          17;          46;           .
CH01;        2020;          12;22.03.2020;0-64    ;          32;          31;          17;          46;           .
CH01;        2020;          13;29.03.2020;0-64    ;          36;          31;          17;          45;           .
CH01;        2020;          14;05.04.2020;0-64    ;          30;          30;          16;          45;           .
CH01;        2020;          15;12.04.2020;0-64    ;          31;          30;          16;          44;           .
CH01;        2020;          16;19.04.2020;0-64    ;          33;          30;          16;          44;           .
CH01;        2020;          17;26.04.2020;0-64    ;          36;          29;          15;          43;           .
CH01;        2020;          18;03.05.2020;0-64    ;          25;          29;          15;          43;           .
CH01;        2020;          19;10.05.2020;0-64    ;          33;          29;          15;          43;           .
CH01;        2020;          20;17.05.2020;0-64    ;          32;          29;          15;          43;           .
CH01;        2020;          21;24.05.2020;0-64    ;          27;          29;          15;          42;           .
CH01;        2020;          22;31.05.2020;0-64    ;          33;          29;          15;          43;           .
CH01;        2020;          23;07.06.2020;0-64    ;          32;          29;          15;          43;           .
CH01;        2020;          24;14.06.2020;0-64    ;          31;          29;          15;          43;           .
CH01;        2020;          25;21.06.2020;0-64    ;          31;          29;          15;          43;           .
CH01;        2020;          26;28.06.2020;0-64    ;          26;          29;          15;          43;           .
CH01;        2020;          27;05.07.2020;0-64    ;          43;          29;          15;          43;          14
CH01;        2020;          28;12.07.2020;0-64    ;          26;          29;          15;          43;           .
CH01;        2020;          29;19.07.2020;0-64    ;          24;          29;          15;          43;           .
CH01;        2020;          30;26.07.2020;0-64    ;          29;          29;          15;          42;           .
CH01;        2020;          31;02.08.2020;0-64    ;          29;          28;          15;          42;           .
CH01;        2020;          32;09.08.2020;0-64    ;          27;          28;          14;          42;           .
CH01;        2020;          33;16.08.2020;0-64    ;          28;          28;          14;          42;           .
CH01;        2020;          34;23.08.2020;0-64    ;          32;          28;          14;          41;           .
CH01;        2020;          35;30.08.2020;0-64    ;          21;          28;          14;          42;           .
CH01;        2020;          36;06.09.2020;0-64    ;          39;          28;          14;          42;           .
CH01;        2020;          37;13.09.2020;0-64    ;          32;          28;          14;          42;           .
CH01;        2020;          38;20.09.2020;0-64    ;          22;          28;          15;          42;           .
CH01;        2020;          39;27.09.2020;0-64    ;          39;          29;          15;          42;           .
CH01;        2020;          40;04.10.2020;0-64    ;          30;          29;          15;          43;           .
CH01;        2020;          41;11.10.2020;0-64    ;          35;          29;          15;          43;           .
CH01;        2020;          42;18.10.2020;0-64    ;          26;          29;          15;          43;           .
CH01;        2020;          43;25.10.2020;0-64    ;          38;          29;          15;          43;           .
CH01;        2020;          44;01.11.2020;0-64    ;          29;          29;          15;          43;           .
CH01;        2020;          45;08.11.2020;0-64    ;          32;          29;          15;          43;           .
CH01;        2020;          46;15.11.2020;0-64    ;          33;          29;          15;          43;           .
CH01;        2020;          47;22.11.2020;0-64    ;          27;          29;          15;          43;           .
CH01;        2020;          48;29.11.2020;0-64    ;          32;          30;          16;          44;           .
CH01;        2020;          49;06.12.2020;0-64    ;          26;          30;          16;          44;           .
CH01;        2020;          50;13.12.2020;0-64    ;          30;          31;          16;          45;           .
CH01;        2020;          51;20.12.2020;0-64    ;          18;          31;          17;          45;           .
CH01;        2020;          52;27.12.2020;0-64    ;          26;          32;          17;          46;           .
CH01;        2020;          53;03.01.2021;0-64    ;          32;          32;          17;          47;           .
CH01;        2021;           1;10.01.2021;0-64    ;          23;          30;          16;          44;           .
CH01;        2021;           2;17.01.2021;0-64    ;          30;          31;          16;          45;           .
CH01;        2021;           3;24.01.2021;0-64    ;          33;          31;          16;          45;           .
CH01;        2021;           4;31.01.2021;0-64    ;          37;          31;          17;          45;           .
CH01;        2021;           5;07.02.2021;0-64    ;          26;          31;          17;          46;           .
CH01;        2021;           6;14.02.2021;0-64    ;          36;          31;          17;          46;           .
CH01;        2021;           7;21.02.2021;0-64    ;          20;          32;          17;          46;           .
CH01;        2021;           8;28.02.2021;0-64    ;          36;          32;          17;          46;           .
CH01;        2021;           9;07.03.2021;0-64    ;          29;          32;          17;          46;           .
CH01;        2021;          10;14.03.2021;0-64    ;          31;          32;          17;          46;           .
