Region_NUTS2;Year;Week;Ending;Age;NoDeaths_EP;Expected;LowerB;UpperB;Diff
CH01;        2020;           1;05.01.2020;65+     ;         189;         228;         189;         267;           .
CH01;        2020;           2;12.01.2020;65+     ;         201;         227;         188;         266;           .
CH01;        2020;           3;19.01.2020;65+     ;         227;         226;         187;         265;           .
CH01;        2020;           4;26.01.2020;65+     ;         212;         225;         187;         264;           .
CH01;        2020;           5;02.02.2020;65+     ;         225;         224;         186;         263;           .
CH01;        2020;           6;09.02.2020;65+     ;         201;         223;         185;         262;           .
CH01;        2020;           7;16.02.2020;65+     ;         215;         222;         184;         261;           .
CH01;        2020;           8;23.02.2020;65+     ;         202;         220;         181;         258;           .
CH01;        2020;           9;01.03.2020;65+     ;         193;         217;         179;         255;           .
CH01;        2020;          10;08.03.2020;65+     ;         203;         213;         175;         251;           .
CH01;        2020;          11;15.03.2020;65+     ;         248;         209;         172;         246;          39
CH01;        2020;          12;22.03.2020;65+     ;         252;         205;         168;         242;          47
CH01;        2020;          13;29.03.2020;65+     ;         318;         201;         164;         237;         117
CH01;        2020;          14;05.04.2020;65+     ;         401;         198;         161;         234;         203
CH01;        2020;          15;12.04.2020;65+     ;         353;         195;         159;         231;         158
CH01;        2020;          16;19.04.2020;65+     ;         278;         192;         156;         228;          86
CH01;        2020;          17;26.04.2020;65+     ;         280;         190;         155;         226;          90
CH01;        2020;          18;03.05.2020;65+     ;         230;         189;         153;         224;          41
CH01;        2020;          19;10.05.2020;65+     ;         158;         188;         152;         223;           .
CH01;        2020;          20;17.05.2020;65+     ;         166;         187;         151;         222;           .
CH01;        2020;          21;24.05.2020;65+     ;         202;         186;         151;         221;           .
CH01;        2020;          22;31.05.2020;65+     ;         146;         184;         149;         219;           .
CH01;        2020;          23;07.06.2020;65+     ;         189;         183;         148;         218;           .
CH01;        2020;          24;14.06.2020;65+     ;         171;         182;         147;         217;           .
CH01;        2020;          25;21.06.2020;65+     ;         166;         181;         147;         216;           .
CH01;        2020;          26;28.06.2020;65+     ;         180;         181;         146;         215;           .
CH01;        2020;          27;05.07.2020;65+     ;         169;         180;         145;         214;           .
CH01;        2020;          28;12.07.2020;65+     ;         186;         179;         145;         214;           .
CH01;        2020;          29;19.07.2020;65+     ;         145;         179;         144;         213;           .
CH01;        2020;          30;26.07.2020;65+     ;         166;         178;         144;         213;           .
CH01;        2020;          31;02.08.2020;65+     ;         177;         178;         144;         212;           .
CH01;        2020;          32;09.08.2020;65+     ;         179;         178;         144;         212;           .
CH01;        2020;          33;16.08.2020;65+     ;         171;         178;         144;         212;           .
CH01;        2020;          34;23.08.2020;65+     ;         188;         179;         144;         213;           .
CH01;        2020;          35;30.08.2020;65+     ;         165;         180;         145;         214;           .
CH01;        2020;          36;06.09.2020;65+     ;         169;         181;         146;         215;           .
CH01;        2020;          37;13.09.2020;65+     ;         217;         182;         148;         217;           .
CH01;        2020;          38;20.09.2020;65+     ;         205;         184;         149;         219;           .
CH01;        2020;          39;27.09.2020;65+     ;         183;         186;         151;         221;           .
CH01;        2020;          40;04.10.2020;65+     ;         184;         188;         153;         223;           .
CH01;        2020;          41;11.10.2020;65+     ;         193;         190;         154;         225;           .
CH01;        2020;          42;18.10.2020;65+     ;         220;         192;         156;         228;           .
CH01;        2020;          43;25.10.2020;65+     ;         228;         193;         158;         229;           .
CH01;        2020;          44;01.11.2020;65+     ;         320;         195;         159;         231;         125
CH01;        2020;          45;08.11.2020;65+     ;         435;         197;         161;         233;         238
CH01;        2020;          46;15.11.2020;65+     ;         488;         199;         163;         235;         289
CH01;        2020;          47;22.11.2020;65+     ;         479;         201;         165;         238;         278
CH01;        2020;          48;29.11.2020;65+     ;         416;         203;         166;         239;         213
CH01;        2020;          49;06.12.2020;65+     ;         341;         204;         167;         241;         137
CH01;        2020;          50;13.12.2020;65+     ;         311;         206;         169;         243;         105
CH01;        2020;          51;20.12.2020;65+     ;         286;         207;         170;         245;          79
CH01;        2020;          52;27.12.2020;65+     ;         249;         209;         172;         246;          40
CH01;        2020;          53;03.01.2021;65+     ;         239;         211;         173;         248;           .
CH01;        2021;           1;10.01.2021;65+     ;         270;         228;         189;         267;          42
CH01;        2021;           2;17.01.2021;65+     ;         239;         227;         188;         266;           .
CH01;        2021;           3;24.01.2021;65+     ;         211;         226;         187;         265;           .
CH01;        2021;           4;31.01.2021;65+     ;         231;         225;         187;         264;           .
CH01;        2021;           5;07.02.2021;65+     ;         195;         224;         186;         263;           .
CH01;        2021;           6;14.02.2021;65+     ;         190;         223;         185;         262;           .
CH01;        2021;           7;21.02.2021;65+     ;         208;         222;         184;         261;           .
CH01;        2021;           8;28.02.2021;65+     ;         191;         220;         181;         258;           .
CH01;        2021;           9;07.03.2021;65+     ;         189;         217;         179;         255;           .
CH01;        2021;          10;14.03.2021;65+     ;         163;         213;         175;         251;           .
CH01;        2021;          11;21.03.2021;65+     ;         197;         209;         172;         246;           .
CH01;        2021;          12;28.03.2021;65+     ;         199;         205;         168;         242;           .
CH01;        2021;          13;04.04.2021;65+     ;         183;         201;         164;         237;           .
CH01;        2021;          14;11.04.2021;65+     ;         162;         198;         161;         234;           .
CH01;        2021;          15;18.04.2021;65+     ;         196;         195;         159;         231;           .
CH01;        2021;          16;25.04.2021;65+     ;         213;         192;         156;         228;           .
CH01;        2021;          17;02.05.2021;65+     ;         170;         190;         155;         226;           .
CH01;        2021;          18;09.05.2021;65+     ;         157;         189;         153;         224;           .
CH01;        2021;          19;16.05.2021;65+     ;         181;         188;         152;         223;           .
CH01;        2021;          20;23.05.2021;65+     ;         151;         187;         151;         222;           .
CH01;        2021;          21;30.05.2021;65+     ;         190;         186;         151;         221;           .
CH01;        2021;          22;06.06.2021;65+     ;         168;         184;         149;         219;           .
CH01;        2021;          23;13.06.2021;65+     ;         177;         183;         148;         218;           .
CH01;        2021;          24;20.06.2021;65+     ;         178;         182;         147;         217;           .
CH01;        2021;          25;27.06.2021;65+     ;         154;         181;         147;         216;           .
CH01;        2021;          26;04.07.2021;65+     ;         163;         181;         146;         215;           .
CH01;        2021;          27;11.07.2021;65+     ;         169;         180;         145;         214;           .
CH01;        2021;          28;18.07.2021;65+     ;         168;         179;         145;         214;           .
CH01;        2021;          29;25.07.2021;65+     ;         175;         179;         144;         213;           .
CH01;        2021;          30;01.08.2021;65+     ;         177;         178;         144;         213;           .
CH01;        2021;          31;08.08.2021;65+     ;         158;         178;         144;         212;           .
CH01;        2021;          32;15.08.2021;65+     ;         183;         178;         144;         212;           .
CH01;        2021;          33;22.08.2021;65+     ;         160;         178;         144;         212;           .
CH01;        2021;          34;29.08.2021;65+     ;         164;         179;         144;         213;           .
CH01;        2021;          35;05.09.2021;65+     ;         178;         180;         145;         214;           .
CH01;        2021;          36;12.09.2021;65+     ;         170;         181;         146;         215;           .
CH01;        2021;          37;19.09.2021;65+     ;         184;         182;         148;         217;           .
CH01;        2021;          38;26.09.2021;65+     ;         188;         184;         149;         219;           .
CH01;        2021;          39;03.10.2021;65+     ;         194;         186;         151;         221;           .
CH01;        2021;          40;10.10.2021;65+     ;         188;         188;         153;         223;           .
CH01;        2021;          41;17.10.2021;65+     ;         193;         190;         154;         225;           .
CH01;        2021;          42;24.10.2021;65+     ;         203;         192;         156;         228;           .
CH01;        2021;          43;31.10.2021;65+     ;         182;         193;         158;         229;           .
CH01;        2021;          44;07.11.2021;65+     ;         171;         195;         159;         231;           .
CH01;        2021;          45;14.11.2021;65+     ;         200;         197;         161;         233;           .
CH01;        2021;          46;21.11.2021;65+     ;         232;         199;         163;         235;           .
CH01;        2021;          47;28.11.2021;65+     ;         198;         201;         165;         238;           .
CH01;        2021;          48;05.12.2021;65+     ;         215;         203;         166;         239;           .
CH01;        2021;          49;12.12.2021;65+     ;         279;         204;         167;         241;          75
CH01;        2021;          50;19.12.2021;65+     ;         236;         206;         169;         243;           .
CH01;        2021;          51;26.12.2021;65+     ;         228;         207;         170;         245;           .
CH01;        2021;          52;02.01.2022;65+     ;       247.6;         209;         172;         246;        38.6
CH01;        2022;           1;09.01.2022;65+     ;       250.8;         217;         180;         256;           .
CH01;        2022;           2;16.01.2022;65+     ;       237.2;         215;         178;         254;           .
CH01;        2022;           3;23.01.2022;65+     ;       243.9;         214;         177;         252;           .
CH01;        2022;           4;30.01.2022;65+     ;       243.4;         212;         176;         251;           .
CH01;        2022;           5;06.02.2022;65+     ;           .;         211;         174;         249;           .
CH01;        2022;           6;13.02.2022;65+     ;           .;         209;         173;         247;           .
CH01;        2022;           7;20.02.2022;65+     ;           .;         208;         171;         246;           .
CH01;        2022;           8;27.02.2022;65+     ;           .;         206;         170;         244;           .
CH01;        2022;           9;06.03.2022;65+     ;           .;         204;         168;         241;           .
CH01;        2022;          10;13.03.2022;65+     ;           .;         201;         165;         238;           .
CH01;        2022;          11;20.03.2022;65+     ;           .;         198;         162;         235;           .
CH01;        2022;          12;27.03.2022;65+     ;           .;         195;         160;         232;           .
CH01;        2022;          13;03.04.2022;65+     ;           .;         192;         157;         228;           .
CH01;        2022;          14;10.04.2022;65+     ;           .;         188;         154;         225;           .
CH01;        2022;          15;17.04.2022;65+     ;           .;         186;         152;         222;           .
CH01;        2022;          16;24.04.2022;65+     ;           .;         183;         149;         219;           .
CH01;        2022;          17;01.05.2022;65+     ;           .;         181;         147;         217;           .
CH01;        2022;          18;08.05.2022;65+     ;           .;         179;         146;         215;           .
CH01;        2022;          19;15.05.2022;65+     ;           .;         178;         144;         213;           .
CH01;        2022;          20;22.05.2022;65+     ;           .;         176;         143;         212;           .
CH01;        2022;          21;29.05.2022;65+     ;           .;         175;         142;         210;           .
CH01;        2022;          22;05.06.2022;65+     ;           .;         174;         141;         209;           .
CH01;        2022;          23;12.06.2022;65+     ;           .;         173;         140;         208;           .
CH01;        2022;          24;19.06.2022;65+     ;           .;         172;         139;         207;           .
CH01;        2022;          25;26.06.2022;65+     ;           .;         171;         139;         206;           .
CH01;        2022;          26;03.07.2022;65+     ;           .;         171;         138;         205;           .
CH01;        2022;          27;10.07.2022;65+     ;           .;         170;         137;         204;           .
CH01;        2022;          28;17.07.2022;65+     ;           .;         169;         137;         204;           .
CH01;        2022;          29;24.07.2022;65+     ;           .;         169;         136;         203;           .
CH01;        2022;          30;31.07.2022;65+     ;           .;         169;         136;         203;           .
CH01;        2022;          31;07.08.2022;65+     ;           .;         169;         136;         203;           .
CH01;        2022;          32;14.08.2022;65+     ;           .;         169;         137;         204;           .
CH01;        2022;          33;21.08.2022;65+     ;           .;         170;         137;         204;           .
CH01;        2022;          34;28.08.2022;65+     ;           .;         170;         137;         205;           .
CH01;        2022;          35;04.09.2022;65+     ;           .;         172;         139;         206;           .
CH01;        2022;          36;11.09.2022;65+     ;           .;         173;         140;         208;           .
CH01;        2022;          37;18.09.2022;65+     ;           .;         175;         141;         210;           .
CH01;        2022;          38;25.09.2022;65+     ;           .;         176;         143;         211;           .
CH01;        2022;          39;02.10.2022;65+     ;           .;         178;         145;         213;           .
CH01;        2022;          40;09.10.2022;65+     ;           .;         180;         146;         215;           .
CH01;        2022;          41;16.10.2022;65+     ;           .;         181;         148;         217;           .
CH01;        2022;          42;23.10.2022;65+     ;           .;         183;         149;         219;           .
CH01;        2022;          43;30.10.2022;65+     ;           .;         184;         150;         220;           .
CH01;        2022;          44;06.11.2022;65+     ;           .;         186;         152;         222;           .
CH01;        2022;          45;13.11.2022;65+     ;           .;         187;         153;         224;           .
CH01;        2022;          46;20.11.2022;65+     ;           .;         189;         155;         225;           .
CH01;        2022;          47;27.11.2022;65+     ;           .;         190;         156;         227;           .
CH01;        2022;          48;04.12.2022;65+     ;           .;         192;         157;         228;           .
CH01;        2022;          49;11.12.2022;65+     ;           .;         193;         158;         230;           .
CH01;        2022;          50;18.12.2022;65+     ;           .;         195;         160;         231;           .
CH01;        2022;          51;25.12.2022;65+     ;           .;         196;         161;         233;           .
CH01;        2022;          52;01.01.2023;65+     ;           .;         198;         162;         235;           .
CH02;        2020;           1;05.01.2020;65+     ;         289;         297;         253;         341;           .
CH02;        2020;           2;12.01.2020;65+     ;         282;         299;         255;         344;           .
CH02;        2020;           3;19.01.2020;65+     ;         281;         302;         257;         346;           .
CH02;        2020;           4;26.01.2020;65+     ;         303;         304;         259;         349;           .
CH02;        2020;           5;02.02.2020;65+     ;         306;         307;         262;         353;           .
CH02;        2020;           6;09.02.2020;65+     ;         267;         311;         265;         356;           .
CH02;        2020;           7;16.02.2020;65+     ;         293;         313;         268;         359;           .
CH02;        2020;           8;23.02.2020;65+     ;         299;         312;         267;         358;           .
CH02;        2020;           9;01.03.2020;65+     ;         267;         311;         265;         356;           .
CH02;        2020;          10;08.03.2020;65+     ;         305;         305;         260;         350;           .
CH02;        2020;          11;15.03.2020;65+     ;         289;         299;         255;         344;           .
CH02;        2020;          12;22.03.2020;65+     ;         288;         292;         248;         336;           .
CH02;        2020;          13;29.03.2020;65+     ;         299;         284;         240;         327;           .
CH02;        2020;          14;05.04.2020;65+     ;         339;         278;         235;         321;          61
CH02;        2020;          15;12.04.2020;65+     ;         314;         273;         230;         316;           .
CH02;        2020;          16;19.04.2020;65+     ;         315;         268;         226;         310;          47
CH02;        2020;          17;26.04.2020;65+     ;         278;         263;         221;         305;           .
CH02;        2020;          18;03.05.2020;65+     ;         236;         258;         217;         300;           .
CH02;        2020;          19;10.05.2020;65+     ;         236;         254;         213;         295;           .
CH02;        2020;          20;17.05.2020;65+     ;         250;         251;         210;         291;           .
CH02;        2020;          21;24.05.2020;65+     ;         236;         248;         208;         289;           .
CH02;        2020;          22;31.05.2020;65+     ;         228;         248;         208;         289;           .
CH02;        2020;          23;07.06.2020;65+     ;         250;         249;         208;         289;           .
CH02;        2020;          24;14.06.2020;65+     ;         241;         249;         209;         290;           .
CH02;        2020;          25;21.06.2020;65+     ;         257;         251;         210;         291;           .
CH02;        2020;          26;28.06.2020;65+     ;         252;         252;         211;         293;           .
CH02;        2020;          27;05.07.2020;65+     ;         236;         253;         212;         294;           .
CH02;        2020;          28;12.07.2020;65+     ;         234;         252;         211;         293;           .
CH02;        2020;          29;19.07.2020;65+     ;         223;         252;         211;         293;           .
